Wall time,Step,Value
1635439781.6001794,374,0.843999981880188
1635439786.7597778,749,0.8629999756813049
1635439793.6579497,1124,0.8675000071525574
1635439802.4130356,1499,0.8691666722297668
1635439810.6228278,1874,0.8763333559036255
1635439819.0966556,2249,0.8820000290870667
1635439827.0085273,2624,0.8740833401679993
1635439833.3005674,2999,0.8793333172798157
1635439839.9608471,3374,0.8808333277702332
1635439848.20656,3749,0.8895000219345093
1635439855.9308996,4124,0.8811666369438171
1635439863.868289,4499,0.890583336353302
1635439869.894548,4874,0.8886666893959045
1635439875.725726,5249,0.8895833492279053
1635439882.2742903,5624,0.8915833234786987
1635439888.6308641,5999,0.8924166560173035
1635439894.980319,6374,0.8914999961853027
1635439901.0283728,6749,0.8918333053588867
1635439907.1214738,7124,0.8934999704360962
1635439913.8606997,7499,0.8886666893959045
1635439920.0505614,7874,0.8920833468437195
1635439926.6536946,8249,0.8933333158493042
1635439933.629596,8624,0.8928333520889282
1635439941.07405,8999,0.8830000162124634
1635439947.867968,9374,0.890749990940094
1635439954.2508826,9749,0.8886666893959045
1635439961.0498946,10124,0.8960833549499512
1635439967.398597,10499,0.8921666741371155
1635439974.5361183,10874,0.8883333206176758
1635439985.2760453,11249,0.8919166922569275
1635439992.0573707,11624,0.8870000243186951
1635439998.084932,11999,0.8918333053588867
1635440004.9628544,12374,0.893750011920929
1635440012.1895177,12749,0.8894166946411133
1635440019.7691448,13124,0.8914166688919067
1635440026.91635,13499,0.8958333134651184
1635440034.7273178,13874,0.8890833258628845
1635440042.7999895,14249,0.8789166808128357
1635440049.7942824,14624,0.8927500247955322
1635440056.7895756,14999,0.8979166746139526
1635440064.3088284,15374,0.8920000195503235
1635440071.6740253,15749,0.8949166536331177
1635440077.597629,16124,0.893583357334137
1635440084.401658,16499,0.890749990940094
1635440090.443197,16874,0.8945000171661377
1635440096.8209536,17249,0.8968333601951599
1635440104.8102932,17624,0.8897500038146973
1635440110.8939815,17999,0.8897500038146973
1635440115.7584765,18374,0.8911666870117188
1635440120.7971504,18749,0.887583315372467
