,name,parameters,epochs,test_loss,test_acc,test_prec,test_rec,hp_metric,lr,weight_decary,batch_size
0,baseline_0,7850,50,0.46677523851394653,0.8357999920845032,0.8217960000038147,0.8245356678962708,0.8357999920845032,0.0005,0.001,32
1,128_sigmoid,101770,50,0.4353533089160919,0.8442000150680542,0.8332759737968445,0.8333428502082825,0.8442000150680542,0.0005,0.001,32
2,128_tanh,101770,50,0.3624339997768402,0.8704000115394592,0.8615899682044983,0.8601831197738647,0.8704000115394592,0.0005,0.001,32
3,128_hardtanh,101770,50,0.3449743092060089,0.8762000203132629,0.8672945499420166,0.8667138814926147,0.8762000203132629,0.0005,0.001,32
4,128_mish,101770,50,0.3465009331703186,0.8745999932289124,0.8659846782684326,0.8649376034736633,0.8745999932289124,0.0005,0.001,32
5,128_leakyrelu,101770,50,0.3496176302433014,0.8733000159263611,0.8653120398521423,0.8639693260192871,0.8733000159263611,0.0005,0.001,32
6,128_relu,101770,50,0.3409579396247864,0.8787000179290771,0.8719128966331482,0.8707385063171387,0.8787000179290771,0.0005,0.001,32
7,115_ReLU_115_ReLU,104775,50,0.3447110950946808,0.8755000233650208,0.8670061230659485,0.8659100532531738,0.8755000233650208,0.0005,0.001,32
8,125_ReLU_27_ReLU,101807,50,0.35752809047698975,0.8709999918937683,0.8643240928649902,0.8633537888526917,0.8709999918937683,0.0005,0.001,32
9,512_relu,407050,50,0.35907918214797974,0.8691999912261963,0.8625541925430298,0.8614227771759033,0.8691999912261963,0.0005,0.001,32
10,350_ReLU_350_ReLU,401110,50,0.3499003052711487,0.8737000226974487,0.8652100563049316,0.8645709753036499,0.8737000226974487,0.0005,0.001,32
11,400_ReLU_128_ReLU,366618,50,0.3557405173778534,0.8700000047683716,0.8634474873542786,0.8614243268966675,0.8700000047683716,0.0005,0.001,32
12,5_ReLU,3985,50,0.5144280195236206,0.819100022315979,0.8022244572639465,0.807157039642334,0.819100022315979,0.0005,0.001,32
13,512_ReLU-16_ReLU,577178,50,0.38110265135765076,0.8633000254631042,0.8499376177787781,0.8542476296424866,0.8633000254631042,0.0005,0.001,32
14,256_ReLU_64_ReLU_128_ReLU,227018,50,0.3528236448764801,0.8740000128746033,0.8633698225021362,0.8655750751495361,0.8740000128746033,0.0005,0.001,32
15,512_ReLU_256_ReLU_64_ReLU_256_ReLU,569016,50,0.3614965081214905,0.8723999857902527,0.8613741993904114,0.8621102571487427,0.8723999857902527,0.0005,0.001,32
16,conv_baseline,44374,50,0.29537180066108704,0.9004999995231628,0.891242504119873,0.8924675583839417,0.9004999995231628,0.0005,0.001,32
17,KL_baseline_0,7850,50,0.466768741607666,0.8356000185012817,0.8214477300643921,0.8242591619491577,0.8356000185012817,0.0005,0.001,32
18,KL_128_sigmoid,101770,50,0.4353533685207367,0.8442000150680542,0.8332759737968445,0.8333428502082825,0.8442000150680542,0.0005,0.001,32
19,KL_128_tanh,101770,50,0.3624340295791626,0.8704000115394592,0.8615899682044983,0.8601831197738647,0.8704000115394592,0.0005,0.001,32
20,KL_128_hardtanh,101770,50,0.3449743390083313,0.8762000203132629,0.8672945499420166,0.8667138814926147,0.8762000203132629,0.0005,0.001,32
21,KL_128_mish,101770,50,0.3465009331703186,0.8745999932289124,0.8659846782684326,0.8649376034736633,0.8745999932289124,0.0005,0.001,32
22,KL_128_leakyrelu,101770,50,0.3496176600456238,0.8733000159263611,0.8653120398521423,0.8639693260192871,0.8733000159263611,0.0005,0.001,32
23,KL_128_relu,101770,50,0.340957909822464,0.8787000179290771,0.8719128966331482,0.8707385063171387,0.8787000179290771,0.0005,0.001,32
24,KL_115_ReLU_115_ReLU,104775,50,0.34471115469932556,0.8755000233650208,0.8670061230659485,0.8659100532531738,0.8755000233650208,0.0005,0.001,32
25,KL_125_ReLU_27_ReLU,101807,50,0.35752809047698975,0.8709999918937683,0.8643240928649902,0.8633537888526917,0.8709999918937683,0.0005,0.001,32
26,KL_512_relu,407050,50,0.3590792119503021,0.8691999912261963,0.8625541925430298,0.8614227771759033,0.8691999912261963,0.0005,0.001,32
27,KL_350_ReLU_350_ReLU,401110,50,0.3499003052711487,0.8737000226974487,0.8652100563049316,0.8645709753036499,0.8737000226974487,0.0005,0.001,32
28,KL_400_ReLU_128_ReLU,366618,50,0.3557405173778534,0.8700000047683716,0.8634474873542786,0.8614243268966675,0.8700000047683716,0.0005,0.001,32
29,KL_5_ReLU,3985,50,0.5144280791282654,0.819100022315979,0.8022244572639465,0.807157039642334,0.819100022315979,0.0005,0.001,32
30,KL_512_ReLU-16_ReLU,577178,50,0.381102591753006,0.8633000254631042,0.8499376177787781,0.8542476296424866,0.8633000254631042,0.0005,0.001,32
31,KL_256_ReLU_64_ReLU_128_ReLU,227018,50,0.3528235852718353,0.8740000128746033,0.8633698225021362,0.8655750751495361,0.8740000128746033,0.0005,0.001,32
32,KL_512_ReLU_256_ReLU_64_ReLU_256_ReLU,569016,50,0.36149653792381287,0.8723999857902527,0.8613741993904114,0.8621102571487427,0.8723999857902527,0.0005,0.001,32
33,KL_conv_baseline,44374,50,0.30255889892578125,0.8960000276565552,0.8860548138618469,0.8874328136444092,0.8960000276565552,0.0005,0.001,32
