Wall time,Step,Value
1635437252.1423965,374,0.8289999961853027
1635437256.76294,749,0.8539166450500488
1635437261.7255452,1124,0.8577499985694885
1635437266.603233,1499,0.8645833134651184
1635437271.5404596,1874,0.8641666769981384
1635437276.9876785,2249,0.8665833473205566
1635437281.8609219,2624,0.8653333187103271
1635437286.8425725,2999,0.8705833554267883
1635437291.7501776,3374,0.8755833506584167
1635437296.5924842,3749,0.8767499923706055
1635437301.4639046,4124,0.8734999895095825
1635437306.7396598,4499,0.8832499980926514
1635437311.6055932,4874,0.8795833587646484
1635437316.5243373,5249,0.8824166655540466
1635437321.4440863,5624,0.8816666603088379
1635437326.3137534,5999,0.8790000081062317
1635437331.1791587,6374,0.8813333511352539
1635437336.8048656,6749,0.8860833048820496
1635437341.8135915,7124,0.8811666369438171
1635437346.7792776,7499,0.8849999904632568
1635437351.6783893,7874,0.8830000162124634
1635437356.5073843,8249,0.8842499852180481
1635437361.350903,8624,0.8893333077430725
1635437366.5661206,8999,0.8861666917800903
1635437371.4187794,9374,0.8855000138282776
1635437376.3383856,9749,0.887333333492279
1635437381.6671047,10124,0.8889166712760925
1635437386.7017617,10499,0.8899166584014893
1635437391.5792134,10874,0.8889999985694885
1635437396.808431,11249,0.8870000243186951
1635437401.6732311,11624,0.8855833411216736
1635437406.5689397,11999,0.8882499933242798
1635437411.52799,12374,0.8868333101272583
1635437416.58984,12749,0.8898333311080933
1635437421.6748831,13124,0.890749990940094
1635437427.3180313,13499,0.8922500014305115
1635437432.3330855,13874,0.8923333287239075
1635437437.229666,14249,0.8869166374206543
1635437442.1465807,14624,0.8901666402816772
1635437447.1026466,14999,0.8888333439826965
1635437452.0260248,15374,0.887333333492279
1635437457.306149,15749,0.8870833516120911
1635437462.3114457,16124,0.8889999985694885
1635437467.255991,16499,0.893666684627533
1635437472.1162932,16874,0.8917499780654907
1635437476.9951391,17249,0.8916666507720947
1635437481.8860373,17624,0.8843333125114441
1635437487.095826,17999,0.8930833339691162
1635437492.4076495,18374,0.8926666378974915
1635437497.2693253,18749,0.8859999775886536
