Wall time,Step,Value
1635446774.851843,374,0.8289999961853027
1635446780.0624514,749,0.8539166450500488
1635446786.3457472,1124,0.8577499985694885
1635446791.8686745,1499,0.8645833134651184
1635446796.9652715,1874,0.8641666769981384
1635446801.7541249,2249,0.8665833473205566
1635446806.511978,2624,0.8653333187103271
1635446811.4958365,2999,0.8705833554267883
1635446816.2330694,3374,0.8755833506584167
1635446821.0220997,3749,0.8767499923706055
1635446825.9820852,4124,0.8734999895095825
1635446830.8694901,4499,0.8832499980926514
1635446835.6367977,4874,0.8795833587646484
1635446840.3916805,5249,0.8824166655540466
1635446845.1500747,5624,0.8816666603088379
1635446849.9354413,5999,0.8790000081062317
1635446854.7840126,6374,0.8813333511352539
1635446859.8992727,6749,0.8860833048820496
1635446864.794122,7124,0.8811666369438171
1635446869.5605655,7499,0.8849999904632568
1635446874.3138185,7874,0.8830000162124634
1635446879.09021,8249,0.8842499852180481
1635446883.8468235,8624,0.8893333077430725
1635446889.399261,8999,0.8861666917800903
1635446894.2279804,9374,0.8855000138282776
1635446898.9770312,9749,0.887333333492279
1635446903.741139,10124,0.8889166712760925
1635446908.5326939,10499,0.8899166584014893
1635446913.3836122,10874,0.8889999985694885
1635446918.3431292,11249,0.8870000243186951
1635446923.1360364,11624,0.8855833411216736
1635446927.910023,11999,0.8882499933242798
1635446932.7435849,12374,0.8868333101272583
1635446938.0905242,12749,0.8898333311080933
1635446943.0240233,13124,0.890749990940094
1635446947.9664083,13499,0.8922500014305115
1635446952.7806103,13874,0.8923333287239075
1635446957.5140564,14249,0.8869166374206543
1635446962.2576427,14624,0.8901666402816772
1635446967.2965832,14999,0.8888333439826965
1635446972.3925474,15374,0.887333333492279
1635446977.5212078,15749,0.8870833516120911
1635446982.3255327,16124,0.8889999985694885
1635446987.0361044,16499,0.893666684627533
1635446991.8249629,16874,0.8917499780654907
1635446996.809528,17249,0.8916666507720947
1635447001.5459626,17624,0.8843333125114441
1635447006.5437374,17999,0.8930833339691162
1635447011.2729478,18374,0.8926666378974915
1635447015.9801416,18749,0.8859999775886536
