Wall time,Step,Value
1635446255.2160397,374,0.8292499780654907
1635446259.6557255,749,0.8515833616256714
1635446264.5775244,1124,0.8569166660308838
1635446269.9698315,1499,0.8631666898727417
1635446275.3854666,1874,0.8622499704360962
1635446280.569023,2249,0.8680833578109741
1635446285.329164,2624,0.8681666851043701
1635446290.034224,2999,0.8713333606719971
1635446294.7090812,3374,0.8712499737739563
1635446299.4408429,3749,0.8785833120346069
1635446304.0862713,4124,0.875249981880188
1635446308.7434747,4499,0.8785833120346069
1635446313.5282722,4874,0.8788333535194397
1635446318.1352928,5249,0.8817499876022339
1635446322.7864978,5624,0.8810833096504211
1635446327.7195675,5999,0.8821666836738586
1635446332.3976889,6374,0.8784166574478149
1635446337.0735965,6749,0.8845000267028809
1635446341.711243,7124,0.8829166889190674
1635446347.4495964,7499,0.8855000138282776
1635446352.5174286,7874,0.8822500109672546
1635446357.4748902,8249,0.8824166655540466
1635446362.143401,8624,0.887666642665863
1635446366.8581095,8999,0.8886666893959045
1635446371.5976076,9374,0.8865000009536743
1635446376.2536836,9749,0.8859166502952576
1635446380.8811789,10124,0.8855833411216736
1635446385.769067,10499,0.8867499828338623
1635446391.1467378,10874,0.8868333101272583
1635446396.0812874,11249,0.8865000009536743
1635446401.0928383,11624,0.8843333125114441
1635446406.627872,11999,0.8865833282470703
1635446411.9867032,12374,0.8879166841506958
1635446418.3819668,12749,0.8882499933242798
1635446424.1678078,13124,0.8887500166893005
1635446429.8948247,13499,0.8899999856948853
1635446435.109525,13874,0.8930833339691162
1635446439.8619294,14249,0.8828333616256714
1635446444.49316,14624,0.8891666531562805
1635446449.1388652,14999,0.890500009059906
1635446453.759623,15374,0.8866666555404663
1635446458.3688948,15749,0.8888333439826965
1635446463.330064,16124,0.8895833492279053
1635446468.3968415,16499,0.890500009059906
1635446473.169233,16874,0.890333354473114
1635446477.9089236,17249,0.8913333415985107
1635446482.5086222,17624,0.8839166760444641
1635446487.127848,17999,0.8923333287239075
1635446491.7253447,18374,0.8921666741371155
1635446497.2721238,18749,0.8824999928474426
