Wall time,Step,Value
1635442989.6035857,374,0.746749997138977
1635442993.4840205,749,0.7847499847412109
1635442997.5598497,1124,0.8065000176429749
1635443001.5706084,1499,0.8218333125114441
1635443006.4617436,1874,0.840749979019165
1635443011.5195897,2249,0.8379999995231628
1635443016.5318267,2624,0.8519999980926514
1635443021.6258388,2999,0.8565833568572998
1635443027.494428,3374,0.8579166531562805
1635443034.1817763,3749,0.8569999933242798
1635443040.975834,4124,0.859416663646698
1635443046.4385364,4499,0.8670833110809326
1635443052.4670305,4874,0.8691666722297668
1635443057.691178,5249,0.8711666464805603
1635443064.0212662,5624,0.8744166493415833
1635443071.1994548,5999,0.8737499713897705
1635443077.256132,6374,0.875249981880188
1635443083.1148822,6749,0.8774999976158142
1635443088.6429217,7124,0.8801666498184204
1635443093.9310064,7499,0.8765000104904175
1635443099.6693823,7874,0.878083348274231
1635443105.6840627,8249,0.8799166679382324
1635443110.7003267,8624,0.8809999823570251
1635443115.8001134,8999,0.8825833201408386
1635443120.9525745,9374,0.8864166736602783
1635443126.5672755,9749,0.8839166760444641
1635443131.9975464,10124,0.8880833387374878
1635443137.1463618,10499,0.8842499852180481
1635443143.0727015,10874,0.8794166445732117
1635443148.6478863,11249,0.8887500166893005
1635443154.100154,11624,0.8838333487510681
1635443159.2967927,11999,0.8886666893959045
1635443165.1441593,12374,0.8893333077430725
1635443172.1451886,12749,0.890333354473114
1635443177.575099,13124,0.8889999985694885
1635443182.993321,13499,0.8941666483879089
1635443188.0408354,13874,0.8925833106040955
1635443193.4028099,14249,0.8898333311080933
1635443198.8183804,14624,0.8917499780654907
1635443204.3809571,14999,0.890916645526886
1635443209.766658,15374,0.89083331823349
1635443215.1326323,15749,0.8956666588783264
1635443220.7150822,16124,0.893916666507721
1635443226.7346246,16499,0.8961666822433472
1635443233.5339513,16874,0.8959166407585144
1635443239.3524697,17249,0.8974999785423279
1635443244.8008194,17624,0.8956666588783264
1635443251.0894601,17999,0.8982499837875366
1635443256.6008003,18374,0.8974999785423279
1635443261.7665882,18749,0.8895833492279053
