Wall time,Step,Value
1635446503.2385464,374,0.8305833339691162
1635446508.3798382,749,0.8540833592414856
1635446514.0287304,1124,0.859416663646698
1635446519.186665,1499,0.8641666769981384
1635446523.9227757,1874,0.8640000224113464
1635446529.2368488,2249,0.8683333396911621
1635446534.7090821,2624,0.8677499890327454
1635446540.2131817,2999,0.8728333115577698
1635446545.7525692,3374,0.8733333349227905
1635446550.5703273,3749,0.8793333172798157
1635446555.714216,4124,0.8765000104904175
1635446560.8892143,4499,0.8822500109672546
1635446566.5275457,4874,0.8793333172798157
1635446571.4059973,5249,0.8827499747276306
1635446576.304903,5624,0.8817499876022339
1635446582.4000647,5999,0.8819166421890259
1635446588.0969982,6374,0.8796666860580444
1635446592.829219,6749,0.8857499957084656
1635446598.0118084,7124,0.8827499747276306
1635446603.5189314,7499,0.8872500061988831
1635446608.924682,7874,0.8834999799728394
1635446614.594835,8249,0.8848333358764648
1635446620.7952673,8624,0.8897500038146973
1635446625.8335137,8999,0.8885833621025085
1635446631.473887,9374,0.8861666917800903
1635446637.6156797,9749,0.887416660785675
1635446643.8405662,10124,0.890250027179718
1635446650.4841235,10499,0.8895000219345093
1635446656.0172005,10874,0.8886666893959045
1635446661.4531052,11249,0.8885833621025085
1635446667.1261668,11624,0.8850833177566528
1635446672.2489018,11999,0.887583315372467
1635446677.8823955,12374,0.890916645526886
1635446683.0411053,12749,0.8924999833106995
1635446687.9801378,13124,0.8914999961853027
1635446692.8710837,13499,0.8921666741371155
1635446697.7060447,13874,0.8930000066757202
1635446702.7633307,14249,0.8862500190734863
1635446708.1409054,14624,0.89083331823349
1635446713.0453105,14999,0.89083331823349
1635446717.7957988,15374,0.8857499957084656
1635446722.7458975,15749,0.8901666402816772
1635446727.9327822,16124,0.8895833492279053
1635446734.6696374,16499,0.8920000195503235
1635446741.3673475,16874,0.8895833492279053
1635446747.2022493,17249,0.8920833468437195
1635446751.9602273,17624,0.8841666579246521
1635446756.8118374,17999,0.8939999938011169
1635446762.815849,18374,0.8932499885559082
1635446768.1291275,18749,0.8868333101272583
