Wall time,Step,Value
1635449432.2318676,374,0.8316666483879089
1635449436.9753828,749,0.8619999885559082
1635449442.222135,1124,0.8630833625793457
1635449449.0219986,1499,0.8707500100135803
1635449454.9836085,1874,0.8743333220481873
1635449460.555662,2249,0.874916672706604
1635449466.4168255,2624,0.8682500123977661
1635449472.9928794,2999,0.871749997138977
1635449479.525264,3374,0.8784166574478149
1635449484.5455613,3749,0.8865833282470703
1635449489.641299,4124,0.8813333511352539
1635449494.686699,4499,0.887583315372467
1635449499.6269414,4874,0.8845000267028809
1635449504.637248,5249,0.8896666765213013
1635449510.492766,5624,0.8833333253860474
1635449515.5385623,5999,0.8928333520889282
1635449520.9944944,6374,0.8922500014305115
1635449526.1510124,6749,0.8849166631698608
1635449531.1784043,7124,0.8928333520889282
1635449537.5535276,7499,0.8866666555404663
1635449543.5198905,7874,0.8931666612625122
1635449548.8735332,8249,0.8895833492279053
1635449554.0754058,8624,0.8817499876022339
1635449559.31816,8999,0.8813333511352539
1635449564.3802972,9374,0.8884166479110718
1635449570.9106212,9749,0.8898333311080933
1635449576.2097385,10124,0.8920833468437195
1635449582.4408157,10499,0.8893333077430725
1635449588.323161,10874,0.8880000114440918
1635449593.406725,11249,0.887333333492279
1635449599.6141264,11624,0.8855000138282776
1635449605.744938,11999,0.89041668176651
1635449611.3943443,12374,0.8901666402816772
1635449617.3059437,12749,0.8849166631698608
1635449623.3048825,13124,0.8916666507720947
1635449629.828641,13499,0.8930833339691162
1635449635.6268115,13874,0.8887500166893005
1635449641.5102973,14249,0.8821666836738586
1635449646.6670766,14624,0.890500009059906
1635449651.5481315,14999,0.8918333053588867
1635449656.698411,15374,0.8887500166893005
1635449661.5741122,15749,0.8859999775886536
1635449666.577114,16124,0.8886666893959045
1635449671.6846795,16499,0.8894166946411133
1635449676.7081854,16874,0.8855833411216736
1635449681.540871,17249,0.8911666870117188
1635449687.016746,17624,0.8855000138282776
1635449692.5780082,17999,0.8901666402816772
1635449697.915057,18374,0.8929166793823242
1635449703.1204565,18749,0.8870000243186951
