Wall time,Step,Value
1635436245.8075316,374,0.8292499780654907
1635436250.4759443,749,0.8515833616256714
1635436255.576935,1124,0.8569166660308838
1635436260.4038212,1499,0.8631666898727417
1635436265.2662616,1874,0.8622499704360962
1635436270.05845,2249,0.8680833578109741
1635436274.8697639,2624,0.8681666851043701
1635436279.9197786,2999,0.8713333606719971
1635436285.07777,3374,0.8712499737739563
1635436289.9124057,3749,0.8785833120346069
1635436294.7560165,4124,0.875249981880188
1635436299.5416136,4499,0.8785833120346069
1635436304.3695772,4874,0.8788333535194397
1635436309.2199357,5249,0.8817499876022339
1635436314.3540976,5624,0.8810833096504211
1635436319.220889,5999,0.8821666836738586
1635436324.0510404,6374,0.8784166574478149
1635436328.8891606,6749,0.8845000267028809
1635436333.6910136,7124,0.8829166889190674
1635436338.8868423,7499,0.8855000138282776
1635436344.0576072,7874,0.8822500109672546
1635436348.8938112,8249,0.8824166655540466
1635436353.8355591,8624,0.887666642665863
1635436358.7865734,8999,0.8886666893959045
1635436363.6170723,9374,0.8865000009536743
1635436368.4662778,9749,0.8859166502952576
1635436373.3112094,10124,0.8855833411216736
1635436378.5239809,10499,0.8867499828338623
1635436383.9176223,10874,0.8868333101272583
1635436388.8362315,11249,0.8865000009536743
1635436393.6837912,11624,0.8843333125114441
1635436398.5200055,11999,0.8865833282470703
1635436403.370858,12374,0.8879166841506958
1635436408.4950905,12749,0.8882499933242798
1635436413.5285075,13124,0.8887500166893005
1635436418.4671757,13499,0.8899999856948853
1635436423.299535,13874,0.8930833339691162
1635436428.1554933,14249,0.8828333616256714
1635436433.002315,14624,0.8891666531562805
1635436438.270755,14999,0.890500009059906
1635436443.2435226,15374,0.8866666555404663
1635436448.1017377,15749,0.8888333439826965
1635436452.979193,16124,0.8895833492279053
1635436457.827494,16499,0.890500009059906
1635436462.682201,16874,0.890333354473114
1635436467.838646,17249,0.8913333415985107
1635436474.1890087,17624,0.8839166760444641
1635436479.3368723,17999,0.8923333287239075
1635436484.3158166,18374,0.8921666741371155
1635436489.1792233,18749,0.8824999928474426
