Wall time,Step,Value
1635441082.2968388,374,0.8316666483879089
1635441088.455108,749,0.8619999885559082
1635441095.7163558,1124,0.8630833625793457
1635441101.3766313,1499,0.8707500100135803
1635441107.0531034,1874,0.8743333220481873
1635441113.2766242,2249,0.874916672706604
1635441119.0983818,2624,0.8682500123977661
1635441125.7917812,2999,0.871749997138977
1635441132.274577,3374,0.8784166574478149
1635441138.9478352,3749,0.8865833282470703
1635441145.5167031,4124,0.8813333511352539
1635441153.4728832,4499,0.887583315372467
1635441160.4627352,4874,0.8845000267028809
1635441166.630805,5249,0.8896666765213013
1635441172.747224,5624,0.8833333253860474
1635441179.0341175,5999,0.8928333520889282
1635441185.1364048,6374,0.8922500014305115
1635441190.0793293,6749,0.8849166631698608
1635441195.0852575,7124,0.8928333520889282
1635441200.163382,7499,0.8866666555404663
1635441205.442731,7874,0.8931666612625122
1635441210.4637418,8249,0.8895833492279053
1635441215.4533036,8624,0.8817499876022339
1635441220.4586108,8999,0.8813333511352539
1635441225.4021792,9374,0.8884166479110718
1635441230.6360698,9749,0.8898333311080933
1635441236.1713262,10124,0.8920833468437195
1635441241.1620667,10499,0.8893333077430725
1635441246.1311972,10874,0.8880000114440918
1635441251.0848901,11249,0.887333333492279
1635441256.1457815,11624,0.8855000138282776
1635441263.8818598,11999,0.89041668176651
1635441269.4053226,12374,0.8901666402816772
1635441274.522531,12749,0.8849166631698608
1635441280.2334323,13124,0.8916666507720947
1635441286.0809464,13499,0.8930833339691162
1635441292.0879464,13874,0.8887500166893005
1635441297.2875643,14249,0.8821666836738586
1635441302.503491,14624,0.890500009059906
1635441308.0119998,14999,0.8918333053588867
1635441312.9971004,15374,0.8887500166893005
1635441318.0888247,15749,0.8859999775886536
1635441323.1362565,16124,0.8886666893959045
1635441328.145999,16499,0.8894166946411133
1635441333.0455003,16874,0.8855833411216736
1635441338.13152,17249,0.8911666870117188
1635441343.0045295,17624,0.8855000138282776
1635441348.075885,17999,0.8901666402816772
1635441353.6002445,18374,0.8929166793823242
1635441358.6465652,18749,0.8870000243186951
