Wall time,Step,Value
1635441365.0687485,374,0.8416666388511658
1635441369.794849,749,0.8461666703224182
1635441375.00477,1124,0.8560000061988831
1635441380.3549428,1499,0.8711666464805603
1635441386.0950332,1874,0.8761666417121887
1635441392.1952598,2249,0.875166654586792
1635441397.8040047,2624,0.8729166388511658
1635441403.1866548,2999,0.8823333382606506
1635441408.2593534,3374,0.8830833435058594
1635441413.3680665,3749,0.8859166502952576
1635441418.4266434,4124,0.8785833120346069
1635441423.4247909,4499,0.8827499747276306
1635441428.5637317,4874,0.8815833330154419
1635441433.807003,5249,0.8870000243186951
1635441439.1860929,5624,0.8790000081062317
1635441444.6034572,5999,0.8868333101272583
1635441450.177667,6374,0.8932499885559082
1635441456.1108384,6749,0.8822500109672546
1635441461.5673633,7124,0.8809999823570251
1635441468.62819,7499,0.8840833306312561
1635441475.0230718,7874,0.8870833516120911
1635441480.5783615,8249,0.8927500247955322
1635441486.4522827,8624,0.8871666789054871
1635441492.446957,8999,0.8931666612625122
1635441498.9605067,9374,0.8932499885559082
1635441504.7909744,9749,0.8839166760444641
1635441510.2548084,10124,0.89083331823349
1635441515.4712193,10499,0.8921666741371155
1635441521.1671364,10874,0.8897500038146973
1635441526.4527292,11249,0.8793333172798157
1635441531.6138413,11624,0.8882499933242798
1635441536.725719,11999,0.8894166946411133
1635441541.9589741,12374,0.8914166688919067
1635441547.2218287,12749,0.887583315372467
1635441553.357027,13124,0.8928333520889282
1635441559.2430809,13499,0.8934166431427002
1635441564.8748038,13874,0.8896666765213013
1635441570.392253,14249,0.8859166502952576
1635441575.944326,14624,0.8896666765213013
1635441581.6431649,14999,0.8899166584014893
1635441587.9289327,15374,0.8855833411216736
1635441594.4751122,15749,0.887666642665863
1635441600.0896504,16124,0.8888333439826965
1635441605.4510884,16499,0.8855833411216736
1635441610.9710257,16874,0.893750011920929
1635441616.4795234,17249,0.8914166688919067
1635441621.7197986,17624,0.887499988079071
1635441627.4479158,17999,0.8854166865348816
1635441632.702179,18374,0.8856666684150696
1635441638.1693423,18749,0.8885833621025085
